ce_cms_fog  | 2025-07-28 11:30:22,242 - INFO - Starting CE-CMS Fog Layer Proxy
ce_cms_fog  | 2025-07-28 11:32:09,536 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:09] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:10,468 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:10] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:11,488 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:11] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:12,507 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:12] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:13,529 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:13] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:14,548 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:14] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:14,562 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:14] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:14,566 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:14] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:15,570 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:15] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:16,593 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:16] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:17,612 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:17] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:18,632 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:18] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:19,594 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:19] "GET /network_status HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:19,597 - INFO - 172.20.0.5 - - [28/Jul/2025 11:32:19] "GET /traffic_stats HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:19,650 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:19] "POST /device_data HTTP/1.1" 200 -
ce_cms_fog  | 2025-07-28 11:32:20,670 - INFO - 172.20.0.2 - - [28/Jul/2025 11:32:20] "POST /device_data HTTP/1.1" 200 -
